Movie Name,Release Date,Release day,Genre1,Genre2,Number of faces on poster,Actor1,Populariy1,Actor2,Popularity2,Actor3,popularity3,Popularitytotal,Director,PopulatiryD,Production house,PopularityPH from youtube,Budget,Weekend Collection,No of prequel,Trailer Views,Likes,Dislikes,Likes on Fb page,Anger,Anticipation,disgust,fear,joy,sadness,surprise,Trust,positive,Highest Positive,Highest Negative,IMDB Rating,Cat_IMDB Rating
The Masked Saint  ,1/22/2016,Friday,Action ,Biography,0,Brett Granstaff,210,Lara Jean Chorostecki,231,T.J. McGibbon,738,1179,Warren P. Sonoda,0,The Masked Saint,307,3500000,123777,0,214577,337,81,111009,0.02316186,0.20360894,0.01696741,0.05144088,0.28440614,0.02423916,0.08025855,0.31591705,0.7852861,Trust,Fear,4.7,Below Average
Compadres  ,3/31/2016,Friday,Action ,Comedy,2,Eric Roberts,33035,Aislinn Derbez,2922374,Kevin Pollak,6076,2961485,Enrique Begne,0,Fresh,2597589,3000000,1397434,0,35260,156,13,36103,0.05882353,0.29411765,0.05882353,0.23529412,0.05882353,0.11764706,0.05882353,0.11764706,0.6,Anticipation,Sadness,4.7,Below Average
Antibirth  ,9/2/2016,Friday,Horror ,NA,1,Natasha Lyonne,641489,Chloë Sevigny,32274,Meg Tilly,1144,674907,Danny Perez,18906,IFC Films,51682,3500000,,0,246993,587,67,935,0,0,0,0,0,0,0,0,0,NA,NA,4.8,Below Average
A Beginners Guide to Snuff  ,3/4/2016,Friday,Comedy,Horror,0,Joey Kern,894,Luke Edwards,0,Bree Williamson,1619,2513,Mitchell Altieri,13,NA,0,700000,,0,1200,5,0,0,0,0,0,0,0,0,0,0,0,NA,NA,8.6,Good
Cabin Fever  ,5/13/2016,Friday,Horror ,NA,0,Gage Golightly,7767,Matthew Daddario,14655,Samuel Davis,1139,23561,Travis Zariwny,0,Movie Clip Trailers,10926930,1500000,,0,357224,2444,925,2865,0.0621016,0.19596291,0.03785976,0.15438478,0.2189492,0.06094263,0.10015453,0.16964458,0.698282,Joy,Fear,3.7,Below Average
Kickboxer: Vengeance  ,9/2/2016,Friday,Action ,NA,5,Alain Moussi,96055,Georges St-Pierre,4258781,T.J. Storm,1078,4355914,John Stockwell,217,NA,0,17000000,,0,3924602,10000,543,110384,0.11854951,0.26080893,0.0404463,0.09902371,0.16875872,0.05299861,0.06834031,0.19107392,0.6320225,Anticipation,Anger,4.9,Below Average
The Dog Lover  ,7/8/2016,Friday,Drama,NA,0,James Remar,7222,Lea Thompson,43317,Jayson Blair,677,51216,Alex Ranarivelo,15,Fresh,2597589,2000000,,0,49363,205,63,105,0,0,0,0,0,0,0,0,0,NA,NA,4.8,Below Average
Gods Not Dead 2  ,4/1/2016,Friday,Drama,NA,11,Maria Canals-Barrera,20309,Pat Boone,115746,Robin Givens,1884,137939,Harold Cronk,373,Movie Clip Trailers,10926930,5000000,7623662,1,2841321,18323,16734,42692,0,0,0,0,0,0,0,0,0,NA,NA,4.2,Below Average
Irreplaceable  ,3/23/2016,Friday,Comedy,Drama,2,François Cluzet,66386,Marianne Denicourt,19,Christophe Odent,3,66408,Thomas Lilti,4,NA,0,600000,,0,2406,7,0,6553,0.03810624,0.22113164,0.02886836,0.08891455,0.23267898,0.03810624,0.08487298,0.26732102,0.8374332,Trust,Fear,6.6,Average
Fight to the Finish  ,2/2/2016,Friday,Action ,Romance,0,Jennifer Hale,7675,Joel Clark Ackerman,0,Tonya Kay,10109,17784,Warren Sheppard,0,Lionsgate Movie,495459,150000,,0,151131,0,0,482,0,0,0,0,0,0,0,0,0,NA,NA,4,Below Average
Alleluia! The Devils Carnival  ,3/29/2016,Friday,Horror ,Musical,5,Terrance Zdunich,35405,Paul Sorvino,7822,Adam Pascal,37936,81163,Darren Lynn Bousman,20973,NA,0,1200000,,0,59517,479,36,1145,0,0,0,0,0,0,0,0,0,NA,NA,7.2,Good
Rodeo Girl  ,1/5/2016,Friday,Family,NA,2,Kevin Sorbo,473548,Yassie Hawkes,535,Kylie Hart,43,474126,Joel Paul Reisig,1000,NA,0,500000,,0,42510,0,0,149,0,0,0,0,0,0,0,0,0,NA,NA,5.6,Average
The Little Ponderosa Zoo  ,5/12/2016,Friday,Family,NA,2,Kena Holmes,0,Damon Boggess,0,Leigh Ann Jernigan,0,0,Luke Dye,0,NA,0,2500000,,0,5916,7,4,0,0,0,0,0,0,0,0,0,0,NA,NA,5.5,Average
The Birth of a Nation  ,10/7/2016,Friday,Biography ,Drama,1,Nate Parker,42817,Armie Hammer,44418,Penelope Ann Miller,2402,89637,Nate Parker,42817,Fox Search Light,155962,8500000,7004254,0,2246812,7020,1297,94634,0.07631954,0.20042796,0.04065621,0.13908702,0.16690442,0.07489301,0.05991441,0.24179743,0.704,Trust,Anger,6.2,Average
